/* DATA DESCRIPTION:
Citation:	Rex, Markus (2020): Links to master tracks in different resolutions of POLARSTERN cruise PS122/1, Tromsø - Arctic Ocean, 2019-09-20 - 2019-12-13 (Version 2). Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.924668
Abstract:	Raw data acquired by position sensors on board RV Polarstern during expedition PS122_1 was processed to receive a validated master track which can be used as reference of further expedition data. During PS122_1 two Trimble Marine SPS461 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processing and evaluation of the data is outlined in the data processing report found at EPIC repository https://hdl.handle.net/10013/epic.14eb801d-744f-4467-9c6a-3bd72ef41fd3. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.
Other version:	Rex, Markus (2020): Master track of POLARSTERN cruise PS122/1 in 1 sec resolution (zipped, 43.3 MB). Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.924669
Further details:	Generalized master track of POLARSTERN cruise PS122/1 (Version 2) (URI: https://hs.pangaea.de/nav/mastertrack/ps/PS122_1_mastertrack_generalized_V2.zip)
	Processing report for navigation sensors from POLARSTERN cruise PS122/1 (URI: https://epic.awi.de/id/eprint/50958/13/PS122_1_nav_valid.jpg)
	Station list of POLARSTERN cruise PS122/1 (URI: https://www.pangaea.de/expeditions/events/PS122%2F1)
	Trackline map of navigation sensors from POLARSTERN cruise PS122/1 (URI: https://epic.awi.de/id/eprint/50958/13/PS122_1_nav_valid.jpg)
Project(s):	Multidisciplinary drifting Observatory for the Study of Arctic Climate (MOSAiC) (URI: https://www.mosaic-expedition.org/)
Funding:	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: http://www.awi.de), grant/award no. AFMOSAiC-1_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate
	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: http://www.awi.de), grant/award no. AWI_PS122_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate / MOSAiC
Coverage:	MEDIAN LATITUDE: 84.972150 * MEDIAN LONGITUDE: 120.511573 * SOUTH-BOUND LATITUDE: 69.679406 * WEST-BOUND LONGITUDE: 18.996644 * NORTH-BOUND LATITUDE: 86.598812 * EAST-BOUND LONGITUDE: 138.136514
	DATE/TIME START: 2019-09-20T17:50:00 * DATE/TIME END: 2019-12-13T08:59:47
Event(s):	PS122/1-track * LATITUDE START: 69.679550 * LONGITUDE START: 18.996650 * LATITUDE END: 86.593190 * LONGITUDE END: 119.241500 * DATE/TIME START: 2019-09-20T17:30:00 * DATE/TIME END: 2019-12-13T09:04:45 * LOCATION: Arctic Ocean * CAMPAIGN: PS122/1 (MOSAiC20192020) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: Underway cruise track measurements (CT) * COMMENT: Tromsø - Arctic Ocean, MOSAiC Leg 1
Comment:	This dataset contains the master track in 10 min resolution, for other resolutions please see "Further details" and Other version" references. 
	Version 2, with an improved processing compared to V1.
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE
	LATITUDE (Latitude) * GEOCODE
	LONGITUDE (Longitude) * GEOCODE
	Speed [kn] (Speed) * METHOD/DEVICE: Calculated * COMMENT: 10-min average
	Course [deg] (Course) * METHOD/DEVICE: Calculated * COMMENT: 10-min average
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	24082 data points
*/
Date/Time	Latitude	Longitude	Speed [kn]	Course [deg]
2019-09-20T17:50	69.67955	18.99664	0.000	255.9
2019-09-20T18:00	69.67955	18.99665	0.001	11.2
2019-09-20T18:10	69.67955	18.99665	0.000	79.1
2019-09-20T18:20	69.67955	18.99665	0.000	108.2
2019-09-20T18:30	69.67955	18.99665	0.001	296.7
2019-09-20T18:40	69.67955	18.99665	0.001	164.1
2019-09-20T18:50	69.67941	18.99683	0.055	155.7
2019-09-20T19:00	69.68378	19.02527	3.889	66.1
2019-09-20T19:10	69.70577	19.04519	8.299	17.4
2019-09-20T19:20	69.73755	19.04487	11.441	359.8
2019-09-20T19:30	69.76527	19.10145	12.221	35.2
2019-09-20T19:40	69.77909	19.20138	13.398	68.2
2019-09-20T19:50	69.79237	19.30423	13.659	69.5
2019-09-20T20:00	69.80262	19.41134	13.819	74.5
2019-09-20T20:10	69.81563	19.51557	13.774	70.1
2019-09-20T20:20	69.82751	19.62155	13.840	71.9
2019-09-20T20:30	69.83913	19.72716	13.761	72.3
2019-09-20T20:40	69.86485	19.79651	12.639	42.8
2019-09-20T20:50	69.89505	19.85671	13.185	34.4
2019-09-20T21:00	69.91434	19.89519	8.419	34.4
2019-09-20T21:10	69.94229	19.95030	12.151	34.1
2019-09-20T21:20	69.97117	20.00871	12.653	34.7
2019-09-20T21:30	70.00019	20.06730	12.698	34.6
2019-09-20T21:40	70.02967	20.12746	12.942	34.9
2019-09-20T21:50	70.05962	20.18589	12.955	33.6
2019-09-20T22:00	70.09253	20.23073	13.065	24.9
2019-09-20T22:10	70.12660	20.26533	12.978	19.0
2019-09-20T22:20	70.16060	20.29812	12.882	18.1
2019-09-20T22:30	70.19409	20.33051	12.689	18.1
2019-09-20T22:40	70.22724	20.36294	12.573	18.3
2019-09-20T22:50	70.25954	20.39424	12.239	18.1
2019-09-20T23:00	70.28971	20.43964	12.181	26.9
2019-09-20T23:10	70.31849	20.50102	12.763	35.7
2019-09-20T23:20	70.34750	20.56225	12.810	35.4
2019-09-20T23:30	70.37649	20.62351	12.804	35.3
2019-09-20T23:40	70.40516	20.68454	12.686	35.5
2019-09-20T23:50	70.43396	20.74543	12.709	35.3
2019-09-21T00:00	70.46332	20.80802	12.985	35.5
2019-09-21T00:10	70.49181	20.86849	12.577	35.3
2019-09-21T00:20	70.52049	20.93004	12.699	35.6
2019-09-21T00:30	70.54917	20.99093	12.650	35.2
2019-09-21T00:40	70.57781	21.05105	12.580	34.9
2019-09-21T00:50	70.60636	21.11110	12.539	34.9
2019-09-21T01:00	70.63522	21.17132	12.640	34.7
2019-09-21T01:10	70.66511	21.23390	13.096	34.7
2019-09-21T01:20	70.69492	21.29680	13.090	34.9
2019-09-21T01:30	70.72394	21.35772	12.715	34.7
2019-09-21T01:40	70.75281	21.41871	12.672	34.8
2019-09-21T01:50	70.78213	21.48070	12.862	34.8
2019-09-21T02:00	70.81119	21.54236	12.762	34.9
2019-09-21T02:10	70.84000	21.60593	12.809	35.9
2019-09-21T02:20	70.86420	21.68586	12.847	47.3
2019-09-21T02:30	70.88861	21.76678	12.975	47.3
2019-09-21T02:40	70.91292	21.84737	12.912	47.3
2019-09-21T02:50	70.93745	21.92865	13.019	47.2
2019-09-21T03:00	70.96190	22.01045	13.034	47.5
2019-09-21T03:10	70.98653	22.09311	13.146	47.5
2019-09-21T03:20	71.01133	22.17673	13.259	47.6
2019-09-21T03:30	71.03646	22.26157	13.436	47.6
2019-09-21T03:40	71.06212	22.34780	13.676	47.5
2019-09-21T03:50	71.08720	22.43399	13.520	48.1
2019-09-21T04:00	71.11250	22.52036	13.581	47.8
2019-09-21T04:10	71.13771	22.60721	13.591	48.1
2019-09-21T04:20	71.16259	22.69259	13.377	47.9
2019-09-21T04:30	71.18741	22.77860	13.404	48.2
2019-09-21T04:40	71.21213	22.86460	13.373	48.2
2019-09-21T04:50	71.23657	22.95029	13.267	48.4
2019-09-21T05:00	71.26079	23.03522	13.141	48.4
2019-09-21T05:10	71.28492	23.11956	13.058	48.3
2019-09-21T05:20	71.30885	23.20474	13.076	48.7
