Run No.	Date	Sample ID	PO4_mean	PO4_mean_QF	PO4_sd	PO4_sd_QF	PO4_cd_CF	PO4_cd_CF_QF	PO4_mean_c	PO4_mean_c_QF	PO4_sd_c	PO4_sd_c_QF	NO2_mean	NO2_mean_QF	NO2_stdev	NO2_stdev_QF	NO2_cd_CF	NO2_cd_CF_QF	NO2_mean_c	NO2_mean_c_QF	NO2_sd_c	NO2_sd_c_QF	N3N2_mean	N3N2_mean_QF	N3N2_sd	N3N2_sd_QF	NO3+NO2_cd_CF	NO3+NO2_cd_CF_QF	N3N2_mean_c	N3N2_mean_c_QF	N3N2_sd_c	N3N2_sd_c_QF	Si_mean	Si_mean_QF	Si_stdev	Si_stdev_QF	Si(OH)4_cd_CF	Si(OH)4_cd_CF_QF	Si_mean_c	Si_mean_c_QF	Si_sd_c	Si_sd_c_QF	NH4_mean	NH4_mean_QF	NH4_stdev	NH4_stdev_QF	NH4_cd_CF	NH4_cd_CF_QF	NH4_mean_c	NH4_mean_c_QF	NH4_sd_c	NH4_sd_c_QF
2	31.10.19	24	0.838	2	0.002	2	0.953	2	0.799	2	0.002	2	0.002	2	0.001	2	0.482	2	0.001	2	0.001	2	10.571	2	0.434	2	1.135	2	11.994	2	0.493	2	4.793	2	0.010	2	1.141	2	5.467	2	0.011	2	0.022	2	0.013	2	0.915	2	0.020	2	0.011	2
2	31.10.19	25	0.629	2	0.002	2	0.953	2	0.600	2	0.002	2	0.004	2	0.002	2	0.482	2	0.002	2	0.001	2	7.535	2	0.034	2	1.135	2	8.550	2	0.039	2	2.970	2	0.005	2	1.141	2	3.388	2	0.006	2	-0.092	2	0.001	2	0.915	2	-0.092	2	0.001	2
2	31.10.19	26	0.554	2	0.002	2	0.953	2	0.528	2	0.002	2	0.009	2	0.001	2	0.482	2	0.004	2	0.000	2	6.019	2	0.106	2	1.135	2	6.830	2	0.120	2	2.590	2	0.006	2	1.141	2	2.954	2	0.006	2	0.002	2	0.005	2	0.915	2	0.002	2	0.004	2
2	31.10.19	27	0.450	2	0.002	2	0.953	2	0.429	2	0.001	2	0.008	2	0.001	2	0.482	2	0.004	2	0.000	2	4.301	2	0.014	2	1.135	2	4.880	2	0.015	2	2.364	2	0.005	2	1.141	2	2.697	2	0.006	2	0.002	2	0.010	2	0.915	2	0.001	2	0.009	2
2	31.10.19	28	0.391	2	0.002	2	0.953	2	0.373	2	0.002	2	0.021	2	0.001	2	0.482	2	0.010	2	0.000	2	2.840	2	0.037	2	1.135	2	3.222	2	0.042	2	2.843	2	0.002	2	1.141	2	3.243	2	0.003	2	-0.017	2	0.003	2	0.915	2	-0.017	2	0.003	2
2	31.10.19	29	0.305	2	0.002	2	0.953	2	0.291	2	0.001	2	0.060	2	0.001	2	0.482	2	0.029	2	0.001	2	1.457	2	0.008	2	1.135	2	1.653	2	0.009	2	2.416	2	0.004	2	1.141	2	2.756	2	0.005	2	0.143	2	0.002	2	0.915	2	0.131	2	0.001	2
2	31.10.19	30	0.276	2	0.001	2	0.953	2	0.263	2	0.001	2	0.079	2	0.001	2	0.482	2	0.038	2	0.000	2	1.016	2	0.001	2	1.135	2	1.153	2	0.001	2	2.188	2	0.006	2	1.141	2	2.496	2	0.006	2	0.231	2	0.001	2	0.915	2	0.211	2	0.001	2
2	31.10.19	31	0.260	2	0.002	2	0.953	2	0.248	2	0.001	2	0.092	2	0.001	2	0.482	2	0.044	2	0.001	2	0.662	2	0.002	2	1.135	2	0.751	2	0.002	2	2.086	2	0.005	2	1.141	2	2.379	2	0.006	2	0.320	2	0.003	2	0.915	2	0.293	2	0.003	2
2	31.10.19	32	0.253	2	0.002	2	0.953	2	0.241	2	0.002	2	0.095	2	0.002	2	0.482	2	0.046	2	0.001	2	0.587	2	0.008	2	1.135	2	0.666	2	0.009	2	2.063	2	0.002	2	1.141	2	2.353	2	0.002	2	0.332	2	0.001	2	0.915	2	0.304	2	0.001	2
2	31.10.19	Alli	0.243	2	0.002	2	0.953	2	0.231	2	0.002	2	0.071	2	0.002	2	0.482	2	0.034	2	0.001	2	0.297	2	0.001	2	1.135	2	0.337	2	0.002	2	1.708	2	0.018	2	1.141	2	1.948	2	0.021	2	0.491	2	0.003	2	0.915	2	0.449	2	0.003	2
																																																				
3	03.11.19	UW	0.302	2	0.003	2	0.913	2	0.276	2	0.003	2	0.115	2	0.001	2	0.432	2	0.050	2	0.000	2	0.629	2	0.029	2	0.938	2	0.590	2	0.027	2	2.656	2	0.005	2	1.180	2	3.135	2	0.005	2	0.410	2	0.002	2	0.597	2	0.245	2	0.001	2
3	03.11.19	???	0.239	2	0.000	2	0.913	2	0.218	2	0.000	2	0.064	2	0.001	2	0.432	2	0.027	2	0.000	2	0.102	2	0.000	2	0.938	2	0.096	2	0.000	2	0.824	2	0.001	2	1.180	2	0.972	2	0.002	2	0.497	2	0.006	2	0.597	2	0.297	2	0.003	2
3	03.11.19	???	0.062	2	0.001	2	0.913	2	0.057	2	0.001	2	0.024	2	0.001	2	0.432	2	0.010	2	0.000	2	-0.025	2	0.001	2	0.938	2	-0.025	2	0.001	2	0.598	2	0.002	2	1.180	2	0.705	2	0.003	2	0.282	2	0.001	2	0.597	2	0.168	2	0.000	2
3	03.11.19	???	0.091	2	0.001	2	0.913	2	0.083	2	0.001	2	0.020	2	0.000	2	0.432	2	0.009	2	0.000	2	-0.010	2	0.003	2	0.938	2	-0.010	2	0.003	2	0.217	2	0.001	2	1.180	2	0.256	2	0.002	2	0.362	2	0.002	2	0.597	2	0.216	2	0.001	2
