Profile,Rawfilename,Project,Depth [m],Sampled volume [L],Total flux [mg m-2 d-1],slope,time
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,127.5,181.44,1.3973049174903402,-2.9188062526458376,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,132.5,181.44,0.2948348540823318,-3.509915536722878,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,137.5,176.04,0.9913741193702905,-3.36864398652701,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,142.5,177.12,0.6650462325883302,-3.629598167500854,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,147.5,182.52,1.5830723524138122,-3.0399912714547335,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,152.5,183.6,0.2709287072331302,-3.957091600841886,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,157.5,186.84,0.5692400869431938,-2.7926827516892856,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,162.5,197.64,0.9908858739295826,-3.0006688274508972,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,167.5,186.84,1.8922120898793995,-2.82582818968579,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,172.5,198.72,0.3469837021778286,-3.2312672108384355,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,177.5,193.32,0.8176289270255428,-3.505506766475989,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,182.5,194.4,0.21792941838775057,-3.9632344339397667,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,187.5,203.04,0.4606905363287376,-4.153606956555025,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,192.5,199.8,0.32314464058906467,-4.118141590771928,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,197.5,201.96,0.28578558658300285,-4.281098796763816,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,202.5,214.92,2.237999800823383,-3.4221354335851535,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,207.5,197.64,0.2817517580210034,-4.670819278798552,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,212.5,204.12,0.8108206537158763,-3.94021148703018,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,217.5,204.12,0.594723308114445,-3.665685685540583,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,222.5,208.44,0.6409857643512067,-4.072399495595166,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,227.5,199.8,0.7779011611858675,-4.130063550047122,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,232.5,206.28,1.1494317373395007,-3.6753810112564747,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,237.5,213.84,0.5827738139534652,-3.314742657373486,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,242.5,198.72,0.776027475013181,-4.082085580591025,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,247.5,195.48,0.4122471785410188,-4.2248255136441974,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,252.5,206.28,0.4850032238778349,-4.351236193975378,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,257.5,195.48,0.8546801244463682,-4.0453974865280315,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,262.5,208.44,0.40429766758923175,-4.649753916264225,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,267.5,201.96,1.251604265081001,-3.9336517347763675,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,272.5,194.4,1.03181333096905,-3.6795670545526473,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,277.5,206.28,0.527019751257696,-4.264153836172262,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,282.5,206.28,1.7126923104363379,-3.8702819071426364,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,287.5,216.0,1.3763218122367022,-4.012573202882107,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,292.5,203.04,1.601083584881468,-3.537874827912265,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,297.5,200.88,0.8648874972073168,-4.037292628211803,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,302.5,213.84,0.37147440755538425,-4.692575010345393,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,307.5,209.52,1.0752436861285548,-3.5981962015268127,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,312.5,197.64,0.6154703368659469,-4.222867459610689,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,317.5,206.28,0.5073628630669476,-3.871027231930424,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,322.5,196.56,1.0472113923848143,-3.9612026563130844,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,327.5,199.8,0.9424949110923948,-4.141183074460265,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,332.5,210.6,0.318838184997947,-4.997218106825934,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,337.5,217.08,0.6281667393858062,-4.486064498162729,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,342.5,207.36,0.3284253634819583,-4.391139948179071,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,347.5,198.72,0.3645192887871703,-4.787582274517842,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,352.5,214.92,0.3376436637815131,-4.802609562683694,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,357.5,203.04,0.4061174900145411,-4.864731858463954,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,362.5,211.68,2.0497705116520533,-3.254513785371072,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,367.5,213.84,0.6463882150185902,-3.8879987861518672,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,372.5,209.52,0.5002136550598877,-4.70644599847241,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,377.5,216.0,0.7596786490527894,-4.481534427779137,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,382.5,220.32,0.36597573708201864,-4.666815339115984,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,387.5,217.08,0.5128943812332215,-4.465342965940722,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,392.5,201.96,0.6557758434817986,-3.6854845745839167,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,397.5,214.92,0.70154005043352,-4.247003824243992,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,402.5,210.6,1.2249278823067193,-4.10486223288983,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,407.5,214.92,0.6547595628981837,-4.56865505732104,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,412.5,206.28,0.4545728521510235,-4.774317330503482,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,417.5,206.28,0.3600572270636816,-4.700303393517362,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,422.5,217.08,1.4273018160537843,-3.9692275067436658,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,427.5,208.44,1.3316783844189348,-3.9840188118955133,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,432.5,208.44,0.519205200642183,-4.017435676188601,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,437.5,214.92,0.2747046427400035,-4.771883912148473,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,442.5,205.2,0.336699269598206,-5.0591636735738446,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,447.5,210.6,0.5737334505013483,-4.679231849170988,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,452.5,213.84,0.8942931358147523,-4.375357851259583,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,457.5,223.56,0.3026875844350581,-4.553269602712713,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,462.5,213.84,0.6267474943341018,-4.466895647306004,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,467.5,207.36,0.3561941131644818,-5.137255300872527,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,472.5,213.84,0.7175458130654261,-4.418513865586063,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,477.5,205.2,0.5380851322409109,-4.377858299923741,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,482.5,214.92,0.3662268188888674,-5.027671988646689,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,487.5,219.24,0.39742809310805144,-5.087819825769974,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,492.5,222.48,0.754943623238425,-4.4230335074842655,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,497.5,214.92,0.3791521791278009,-5.041639719140627,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,502.5,140.4,0.3565780976307654,-4.011375356284529,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,507.5,122.04,0.7770191003635327,-3.8387340800444654,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,512.5,118.8,0.9316393967875246,-3.7309073797825847,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,517.5,116.64,0.4451030014719816,-4.6773153016564,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,522.5,99.36,0.45008398544062955,-4.030078407146321,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,527.5,98.28,0.5025749323002286,-2.957335115254405,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,532.5,103.68,0.4893079535786084,-4.5417049681248285,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,537.5,99.36,0.8052337321637668,-4.462916608341679,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,542.5,110.16,0.37497394952014707,-4.43519364576563,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,547.5,102.6,0.3773102449741167,-4.84976948623472,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,552.5,102.6,0.44837771340543764,-4.687797894897332,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,557.5,102.6,0.3975085043989802,-4.6412679412542275,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,562.5,108.0,0.3715123207061869,-4.549751520406298,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,567.5,104.76,0.9069050812540783,-3.3013180589130924,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,572.5,105.84,0.3733868877423947,-3.9836349204007964,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,577.5,110.16,0.5999682979242418,-4.623827598689408,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,582.5,104.76,0.3647384359809638,-4.629276220113255,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,587.5,101.52,0.6850390901710461,-4.445229175153696,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,592.5,109.08,0.4167564098984959,-5.05425279459187,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,597.5,108.0,0.48106432965042045,-4.575767244684557,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,602.5,102.6,0.41854378037516987,-4.948602106017183,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,607.5,112.32,0.4672980121606183,-4.767995588503777,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,612.5,105.84,0.9826402960098268,-3.973455745132719,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,617.5,108.0,1.2223598750367732,-4.193916344622178,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,622.5,103.68,0.5334037318378282,-3.562233597120725,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,627.5,109.08,0.523706090223454,-4.693681462285189,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,632.5,108.0,0.4780150684966333,-3.4494927561864923,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,637.5,110.16,0.5064920812496307,-4.575975798271274,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,642.5,98.28,0.6824527226642675,-3.8100134190394406,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,647.5,110.16,0.4810307301155564,-4.206262155000761,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,652.5,105.84,0.5712561515944921,-3.6598992714308047,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,657.5,108.0,0.4738821817498435,-4.646975793713415,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,662.5,105.84,1.6204872384890476,-3.965694175158758,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,667.5,100.44,0.7272467430491312,-4.310431272239653,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,672.5,108.0,0.553333946244568,-4.66744015085872,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,677.5,102.6,1.700632009117761,-3.1201555667747796,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,682.5,109.08,0.5930398152259818,-4.370278948185519,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,687.5,105.84,0.6433034540755052,-4.1674421878225045,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,692.5,97.2,0.7458190479826685,-4.438445432694681,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,697.5,102.6,0.8412962131654208,-4.233470918153205,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,702.5,104.76,1.0673832458188794,-4.040471402378186,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,707.5,100.44,0.46368405452316486,-4.172821523694304,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,712.5,103.68,0.48304541893570124,-4.5437502127820535,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,717.5,91.8,0.7746041688198775,-3.2476459636275816,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,722.5,101.52,0.48609330693586633,-4.710323847844962,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,727.5,99.36,0.46802533208887476,-3.871161934665256,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,732.5,100.44,0.4789492886030125,-4.466993715476139,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,737.5,106.92,0.8704798508903528,-4.168895914370879,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,742.5,101.52,2.0663067835378763,-3.2547867501102363,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,747.5,103.68,0.8241596488363168,-4.515692171219055,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,752.5,105.84,0.546310970179142,-4.418573931942602,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,757.5,101.52,0.5918628696736548,-3.981142700757691,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,762.5,102.6,0.7893329716169123,-3.246935360331206,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,767.5,105.84,0.564303836865925,-3.314232790433648,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,772.5,102.6,0.5456593175160127,-4.406281042115784,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,777.5,106.92,1.2215786294438824,-4.168801110801006,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,782.5,97.2,0.4424542138881403,-4.371750316972538,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,787.5,108.0,0.5533841593297725,-4.698704670583785,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,792.5,103.68,1.1498156453912118,-4.345933462943653,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,797.5,106.92,0.5549803574667463,-3.9933618210183344,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,802.5,97.2,0.5719679704992541,-4.710974128289231,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,807.5,110.16,0.5263014334552248,-4.771486960978127,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,812.5,108.0,1.059423547825514,-4.399848453103049,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,817.5,103.68,0.9533464330768946,-4.219634558088604,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,822.5,93.96,0.7179261264171948,-4.560972258761694,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,827.5,101.52,0.9554872345721789,-4.140013600953262,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,832.5,108.0,0.5433854324917192,-4.3423707024917,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,837.5,106.92,0.595138542189945,-3.931167302675579,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,842.5,101.52,1.0691185804250534,-3.726945652079443,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,847.5,108.0,0.5239546432902951,-4.3915602063859005,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,852.5,105.84,0.4655636848193669,-4.568135005741233,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,857.5,105.84,0.6169465790989939,-4.88241931297319,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,862.5,103.68,0.6207392416049415,-4.402695319998417,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,867.5,104.76,0.5280722515396981,-4.449587631885701,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,872.5,109.08,0.5375650216555022,-4.935250386119889,2019-10-04 08:28:19
